State,county,diff,votes_gop,votes_dem,total_votes,confirmed_cases,TOT_POP,"Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18"
IA,Washington,2410,6971,4561,11765,2285,12095,1336,5888,4537,3214,8.9,39.3,30.3,21.5
KS,Washington,1865,2332,467,2843,472,12095,362,1461,1273,788,9.3,37.6,32.8,20.3
ME,Washington,3433,10194,6761,17357,408,12095,2710,9099,6645,4854,11.6,39,28.5,20.8
MD,Washington,14180,40224,26044,67779,11471,12095,13723,37982,30357,22409,13.1,36.4,29.1,21.4
MN,Washington,-15401,73764,89165,166786,20017,12095,6889,35951,53768,73505,4,21.1,31.6,43.2
MO,Washington,6243,8047,1804,9976,2073,12095,4026,6679,4930,1615,23.3,38.7,28.6,9.4
NY,Washington,4376,15941,11565,28138,1875,12095,5519,17111,13058,9151,12.3,38.2,29.1,20.4
NC,Washington,-615,2781,3396,6205,765,12095,1683,2998,2759,946,20.1,35.8,32.9,11.3
OR,Washington,-110867,99073,209940,320326,0,12095,33294,69211,120704,173384,8.4,17.5,30.4,43.7
PA,Washington,26992,72080,45088,118478,8338,12095,10551,56878,37408,43968,7.1,38.2,25.1,29.5
TN,Washington,21806,40444,18638,60203,10784,12095,9861,24962,23877,28075,11.4,28.8,27.5,32.4
TX,Washington,8698,12959,4261,17418,2738,12095,3302,7554,6541,5790,14.2,32.6,28.2,25
UT,Washington,46764,67294,20530,90476,18884,12095,7654,23856,42537,28437,7.5,23.3,41.5,27.7
WI,Washington,33587,60237,26650,88070,13286,12095,4939,28658,31889,28989,5.2,30.3,33.8,30.7
